Plant Id,Combined Heat And Power Plant,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,"Reported
Prime Mover","Net Generation
January","Net Generation
February","Net Generation
March","Net Generation
April","Net Generation
May","Net Generation
June","Net Generation
July","Net Generation
August","Net Generation
September","Net Generation
October","Net Generation
November","Net Generation
December","Net Generation
Year To Date",BA_CODE,YEAR
3943,N,FirstEnergy Fort Martin Power Station,Monongahela Power Co,12796,WV,SAT,RFC,22,1,Electric Utility,1,ST,184519.0,155105.0,224118.0,375849.0,267678.0,243203.0,193720.0,283557.0,280302.0,346843.0,207794.0,147424.0,2910112.0,PJM,2022
3943,N,FirstEnergy Fort Martin Power Station,Monongahela Power Co,12796,WV,SAT,RFC,22,1,Electric Utility,2,ST,296217.0,163773.0,30000.0,-3131.0,-4285.0,148959.0,210471.0,270525.0,184309.0,343976.0,173579.0,229703.0,2044096.0,PJM,2022
3944,N,FirstEnergy Harrison Power Station,Monongahela Power Co,12796,WV,SAT,RFC,22,1,Electric Utility,3,ST,466661.0,195559.0,365192.0,351802.0,445239.0,438161.0,431704.0,331220.0,363427.0,413288.0,363749.0,360027.0,4526029.0,PJM,2022
3944,N,FirstEnergy Harrison Power Station,Monongahela Power Co,12796,WV,SAT,RFC,22,1,Electric Utility,2,ST,377517.0,297466.0,79284.0,353607.0,437311.0,362986.0,397231.0,409546.0,79580.0,0.0,0.0,156994.0,2951522.0,PJM,2022
3944,N,FirstEnergy Harrison Power Station,Monongahela Power Co,12796,WV,SAT,RFC,22,1,Electric Utility,1,ST,425919.0,366552.0,458483.0,461244.0,406745.0,440392.0,378312.0,330859.0,386667.0,247344.0,216239.0,461830.0,4580586.0,PJM,2022
3948,N,Mitchell (WV),Kentucky Power Co,22053,WV,SAT,RFC,22,1,Electric Utility,1,ST,216009.0,0.0,439.0,135684.0,257670.0,280441.0,314062.0,401952.0,255535.0,0.0,9964.0,250055.0,2121811.0,PJM,2022
3948,N,Mitchell (WV),Kentucky Power Co,22053,WV,SAT,RFC,22,1,Electric Utility,2,ST,328193.0,206887.0,0.0,134234.0,79513.0,133135.0,232244.0,137761.0,0.0,0.0,0.0,128109.0,1380076.0,PJM,2022
3954,N,Mt Storm,Virginia Electric & Power Co,19876,WV,SAT,RFC,22,1,Electric Utility,2,ST,282815.0,228252.0,205810.0,232570.0,114758.0,94429.0,141403.0,144305.0,88157.0,0.0,38409.0,179878.0,1750786.0,PJM,2022
3954,N,Mt Storm,Virginia Electric & Power Co,19876,WV,SAT,RFC,22,1,Electric Utility,3,ST,219091.0,191756.0,7832.0,160417.0,297113.0,139371.0,175993.0,41865.0,46237.0,0.0,0.0,188262.0,1467937.0,PJM,2022
3954,N,Mt Storm,Virginia Electric & Power Co,19876,WV,SAT,RFC,22,1,Electric Utility,1,ST,203205.0,209207.0,51085.0,121203.0,207711.0,196434.0,157508.0,97573.0,27973.0,0.0,73853.0,79658.0,1425410.0,PJM,2022
3982,N,Bay Front,Northern States Power Co - Minnesota,13781,WI,ENC,MRO,22,1,Electric Utility,6,ST,7586.0,7044.0,9925.0,0.0,7077.0,8480.0,7734.0,8266.0,4211.0,8681.0,8455.0,8093.0,85552.0,MISO,2022
3982,N,Bay Front,Northern States Power Co - Minnesota,13781,WI,ENC,MRO,22,1,Electric Utility,5,ST,8078.0,8475.0,13.0,8433.0,7077.0,9037.0,9050.0,8901.0,4614.0,8371.0,6879.0,8995.0,87923.0,MISO,2022
3992,N,Blount Street,Madison Gas & Electric Co,11479,WI,ENC,MRO,22,1,Electric Utility,6,ST,-156.0,141.0,-172.0,1280.0,3331.0,1843.0,7804.0,4803.0,730.0,-36.0,615.0,595.0,20778.0,MISO,2022
3992,N,Blount Street,Madison Gas & Electric Co,11479,WI,ENC,MRO,22,1,Electric Utility,7,ST,-23.0,-75.0,-41.0,-43.0,-72.0,-101.0,-172.0,-125.0,-72.0,-48.0,-42.0,1789.0,975.0,MISO,2022
4005,N,French Island,Northern States Power Co - Minnesota,13781,WI,ENC,MRO,22,1,Electric Utility,2,ST,2684.0,3097.0,3171.0,2736.0,2597.0,3494.0,2567.0,1766.0,3098.0,2508.0,2581.0,1934.0,32233.0,MISO,2022
4005,N,French Island,Northern States Power Co - Minnesota,13781,WI,ENC,MRO,22,1,Electric Utility,1,ST,2004.0,2126.0,2349.0,2618.0,2310.0,797.0,2092.0,3301.0,643.0,2596.0,2972.0,3387.0,27195.0,MISO,2022
